,word1,word2,similarity,w2v
0,access,gateway,3.791666667,0.31571934
1,account,explanation,2.0,0.24153918
2,account,invoice,3.75,0.2764432
3,account,statement,3.681818182,0.19284523
4,acoustic,remedy,1.227272727,0.03152404
5,acrylic,cloth,2.739130435,0.42509243
6,action,adjustment,2.0,0.1625476
7,action,entrance,1.583333333,-0.0055555496
8,activity,event,4.083333333,0.15490644
9,activity,music,2.681818182,0.1232069
10,activity,skiing,3.45,0.122539714
11,addition,segment,2.5,0.18382153
12,adhesive,glue,4.608695652,0.5828512
13,adult,dentist,2.47826087,0.16337624
14,adult,doctor,2.782608696,0.14563732
15,afternoon,substance,1.0,0.09629165
16,age,childhood,3.782608696,0.32420495
17,agency,army,2.916666667,0.13402475
18,agency,office,3.857142857,0.34105328
19,agency,police,3.19047619,0.17157072
20,agent,spy,4.0,0.22239892
21,agreement,contract,4.476190476,0.5878523
22,aim,purpose,4.363636364,0.4913742
23,aircraft,balloon,2.869565217,0.3055392
24,aircraft,yacht,2.434782609,0.3662605
25,alarm,horn,3.458333333,0.25053892
26,alarm,press,2.0,0.04788225
27,algorithm,search,1.863636364,0.18196695
28,alien,stranger,3.428571429,0.19160335
29,alloy,metal,3.954545455,0.54725367
30,alphabet,script,3.5,0.24505448
31,aluminum,oxygen,1.608695652,0.18261118
32,amount,distance,1.958333333,0.14687392
33,amount,number,4.136363636,0.45802978
34,amount,season,1.434782609,0.09351826
35,amusement,athletics,2.6,0.097714335
36,amusement,play,4.041666667,0.02167628
37,amusement,procedure,1.454545455,0.0060051647
38,anatomy,creation,2.565217391,0.035740778
39,animal,flora,2.0,0.26806766
40,animal,worm,2.72,0.18760522
41,ankle,joint,4.227272727,0.09240589
42,anniversary,birthday,3.727272727,0.63550365
43,answer,plea,2.44,0.12782969
44,apparel,dress,4.227272727,0.36389914
45,appearance,shadow,2.52173913,0.061207533
46,apple,bank,1.125,0.098478995
47,apple,orange,3.47826087,0.39203462
48,apple,pod,2.043478261,0.17623195
49,appliance,dryer,3.333333333,0.40072313
50,appliance,refrigerator,4.227272727,0.40414554
51,approach,swing,1.652173913,0.22982334
52,approval,encouragement,2.863636364,0.22114731
53,approving,interaction,2.0,-0.028190503
54,arc,rainbow,3.347826087,0.2020459
55,architecture,engineering,3.25,0.42526582
56,area,patio,2.545454545,0.2053911
57,area,region,4.318181818,0.568542
58,argument,evidence,3.045454545,0.40302193
59,argument,indication,1.772727273,0.21126717
60,arm,arrow,2.230769231,0.28732318
61,arm,missile,2.772727273,0.10707106
62,armor,mail,1.913043478,0.11141513
63,army,legion,3.285714286,0.31562647
64,aroma,fragrance,4.681818182,0.49516913
65,aroma,smell,4.19047619,0.7462228
66,arrangement,blizzard,1.25,0.006453624
67,arrangement,room,2.380952381,0.13030665
68,article,girl,1.208333333,0.07161868
69,artillery,gun,3.541666667,0.31728944
70,aspen,maple,2.791666667,0.44410816
71,ass,donkey,4.85,0.3451817
72,assembly,crowd,3.363636364,0.118336804
73,assets,capital,4.090909091,0.30602953
74,assets,credit,3.47826087,0.2780696
75,assets,income,4.038461538,0.37657982
76,association,organization,4.362318841,0.50262177
77,athlete,participant,3.458333333,0.2533724
78,athletics,racing,3.826086957,0.2874999
79,athletics,swimming,3.45,0.45306572
80,attitude,notice,1.486486486,0.15540446
81,attitude,study,1.88,0.04445814
82,attorney,lawyer,4.681818182,0.8204511
83,attraction,pressure,1.565217391,0.0886593
84,attraction,quality,2.347826087,0.055944514
85,attribute,condition,2.576923077,0.1268454
86,average,time,2.380952381,0.16192664
87,baby,computer,1.24,0.10761382
88,bail,bond,3.086956522,0.5878828
89,bait,instrument,2.090909091,0.04579308
90,bait,pump,1.208333333,0.12605543
91,bakery,work,2.541666667,0.06698978
92,bakery,workplace,3.0,0.18117338
93,balance,gauge,2.6,0.15483737
94,ball,egg,1.727272727,0.13399272
95,ball,nut,1.727272727,0.08725306
96,ball,poker,2.165217391,0.030368889
97,ball,sphere,4.142857143,0.109596826
98,band,circle,2.954545455,0.17012818
99,bar,needle,1.772727273,0.065719195
100,bar,rod,4.047619048,0.1639793
101,barrel,gallon,3.153846154,0.5364537
102,base,club,1.619047619,0.12710944
103,base,stock,2.476190476,0.04323095
104,baseball,softball,3.230769231,0.7089906
105,basin,vessel,4.076923077,0.2694582
106,basketball,hockey,2.782608696,0.61314636
107,basketball,squash,2.833333333,0.32573447
108,bathroom,chamber,2.681818182,0.13281709
109,battle,fight,4.583333333,0.7021284
110,bay,mere,1.583333333,0.05647603
111,beach,chain,1.047619048,0.10707829
112,beach,ridge,2.260869565,0.23729391
113,beam,column,2.961538462,0.13002731
114,beat,meter,1.92,0.09286188
115,beat,rhythm,4.363636364,0.3128632
116,bed,layer,2.136363636,0.093506485
117,bedroom,cell,2.136363636,0.1985635
118,bedroom,construction,2.208333333,0.091928236
119,bee,insect,4.043478261,0.5376728
120,beef,cattle,4.173913043,0.5763146
121,beef,meat,4.619047619,0.7286377
122,beginner,novice,4.166666667,0.62755716
123,behavior,purpose,2.304347826,0.062215693
124,belief,magic,2.565217391,0.15952672
125,belief,purpose,2.333333333,0.21697336
126,bench,seat,4.428571429,0.20160365
127,bend,curve,4.541666667,0.47315663
128,berry,citrus,3.0,0.5765047
129,bill,invoice,4.588235294,0.2755345
130,billboard,structure,3.0,0.1256145
131,bin,box,3.956521739,0.381256
132,bin,cup,2.217391304,0.22800073
133,binary,star,1.863636364,0.073678784
134,bird,creature,3.458333333,0.50896144
135,bird,solid,1.090909091,-0.03150169
136,birth,modification,1.434782609,0.03812478
137,bishop,priest,4.269230769,0.7934755
138,bit,tool,2.708333333,0.12037093
139,bite,breakfast,2.869565217,0.2429376
140,bite,taste,3.636363636,0.29592353
141,black,juvenile,1.238095238,0.12948535
142,blade,projector,1.434782609,0.2643125
143,blanket,sleeve,2.111111111,0.24158466
144,blizzard,rash,1.307692308,0.18423873
145,blow,contact,1.695652174,0.030442368
146,blue,red,3.272727273,0.7225173
147,board,commission,3.173913043,0.47836947
148,boat,ferry,4.083333333,0.60052973
149,boat,vessel,3.208333333,0.6984576
150,body,trunk,3.260869565,0.37316838
151,bond,security,3.904761905,0.100736454
152,bone,skull,4.272727273,0.50997365
153,book,encyclopedia,3.904761905,0.40086412
154,booklet,reference,3.380952381,0.22849081
155,boot,kick,3.173913043,0.3781042
156,boot,punch,1.75,0.20687719
157,bottom,sole,3.347826087,0.081244655
158,boy,male,4.52173913,0.32450095
159,boy,rover,2.0,0.07726674
160,brace,stand,2.913043478,0.11315121
161,brain,head,4.173913043,0.13305117
162,brake,click,1.761904762,0.11157953
163,branch,department,4.043478261,0.27556524
164,brand,knife,1.681818182,0.008174897
165,brand,surname,2.318181818,0.18288004
166,brandy,liquor,4.541666667,0.4093299
167,brass,executive,1.913043478,0.14083676
168,bread,bun,4.304347826,0.43261343
169,break,dash,2.916666667,0.1629081
170,break,insert,2.041666667,0.17101894
171,brick,cement,3.625,0.32213244
172,brick,strip,1.541666667,0.15492037
173,broadcast,packet,1.727272727,0.081489444
174,brochure,publication,3.875,0.20736027
175,brochure,reference,2.95,0.21058129
176,brother,member,2.583333333,0.1358829
177,brush,implement,2.47826087,0.05085381
178,budget,fund,4.0,0.38166112
179,buffer,cache,2.409090909,0.19961728
180,bug,child,1.276595745,0.07203868
181,build,flesh,1.833333333,0.034439377
182,building,cafe,3.142857143,0.21219197
183,bulb,onion,2.92,0.35584384
184,bulletin,news,4.666666667,0.37772387
185,bunny,server,1.25,0.04174621
186,burn,hurt,3.730769231,0.22546083
187,burning,flame,4.48,0.41200185
188,burning,punishment,2.52,0.10356564
189,burst,transformation,1.952380952,0.163338
190,business,disposition,1.583333333,0.11581074
191,business,railway,2.541666667,0.09772921
192,butter,stick,2.375,0.31809536
193,butterfly,comma,1.130434783,0.12865867
194,cab,taxi,4.476190476,0.75105584
195,cake,pie,3.545454545,0.5867396
196,calendar,circulation,1.695652174,0.073115565
