,similarity,path_max,lch_max,wup_max,res_brown_max,jcn_brown_max,lin_brown_max,res_semcor_max,jcn_semcor_max,lin_semcor_max,path_ave,lch_ave,wup_ave,res_brown_ave,jcn_brown_ave,lin_brown_ave,res_semcor_ave,jcn_semcor_ave,lin_semcor_ave
similarity,1.0,0.4901317806597983,0.4901317806597983,0.45049406041349754,0.40439414597226886,0.4774800693790961,0.48770180436319016,0.3465345625981212,0.4859602606287798,0.49567996908982465,0.3926359740962803,0.28961157741389937,0.25451766102338896,0.34381099578661306,0.48934001998234006,0.3708087192590621,0.33314561677245863,0.4346070603023571,0.39905793914624016
path_max,0.4901317806597983,1.0,1.0,0.8952150979551597,0.565697866173665,0.7848700412370522,0.7899164718344677,0.566263448453904,0.689763933467076,0.6982685473733454,0.38554151323890357,0.20650976045274316,0.1104176050425316,0.14771562394953966,0.6627076464518422,0.17871010296292997,0.1730801984003857,0.5717069733811986,0.2293056353615398
lch_max,0.4901317806597983,1.0,1.0,0.8952150979551597,0.565697866173665,0.7848700412370522,0.7899164718344677,0.566263448453904,0.689763933467076,0.6982685473733454,0.38554151323890357,0.20650976045274316,0.1104176050425316,0.14771562394953966,0.6627076464518422,0.17871010296292997,0.1730801984003857,0.5717069733811986,0.2293056353615398
wup_max,0.45049406041349754,0.8952150979551597,0.8952150979551597,1.0,0.6906092885832188,0.7446158819973037,0.7882813252229504,0.68027999310344,0.6309783730932359,0.6632028886655269,0.2938185942986239,0.09582525334020289,0.08262793907698057,0.18477896196237215,0.6012131072896607,0.16894247615436325,0.21274171825813065,0.5034955086646091,0.17010064164413027
res_brown_max,0.40439414597226886,0.565697866173665,0.565697866173665,0.6906092885832188,1.0,0.6259523387023936,0.7370480523107499,0.933878858919101,0.43536553508293996,0.5065061531717601,0.2066606956942366,0.034926469289179536,0.11386120635826878,0.3672076248475281,0.45544115777298755,0.2258561152790937,0.391582097450901,0.31264145225481804,0.0732656384674097
jcn_brown_max,0.4774800693790961,0.7848700412370522,0.7848700412370522,0.7446158819973037,0.6259523387023936,1.0,0.9789556461928101,0.6322334423331455,0.8324546888248459,0.8371870139308605,0.24230839094864154,0.10675311661389011,0.037334227604658515,0.10592859421302635,0.8109753178894513,0.19712557440309966,0.14506982843412564,0.6740537088653823,0.29574283756301817
lin_brown_max,0.48770180436319016,0.7899164718344677,0.7899164718344677,0.7882813252229504,0.7370480523107499,0.9789556461928101,1.0,0.7362210434663343,0.8002019978704232,0.8268428623239988,0.23756921536842565,0.08262516499995609,0.04553598269620608,0.16585571188791068,0.7784210515918961,0.21557232885689007,0.20216782467165612,0.6364881258903935,0.25843813187785586
res_semcor_max,0.3465345625981212,0.566263448453904,0.566263448453904,0.68027999310344,0.933878858919101,0.6322334423331455,0.7362210434663343,1.0,0.4488534481222306,0.5226550378634474,0.14664707855545933,-0.016932683175217216,0.03911093477887105,0.27749965861195364,0.4358195020715294,0.15559271112671583,0.3375809632463173,0.30472372592527514,0.026034170278824036
jcn_semcor_max,0.4859602606287798,0.689763933467076,0.689763933467076,0.6309783730932359,0.43536553508293996,0.8324546888248459,0.8002019978704232,0.4488534481222306,1.0,0.9896179183844155,0.2602059420713551,0.1519146100762742,0.051860676066815714,0.07015257329020826,0.7157534523209936,0.17874564870964055,0.12309532085813052,0.8527826410774181,0.4827257366425025
lin_semcor_max,0.49567996908982465,0.6982685473733454,0.6982685473733454,0.6632028886655269,0.5065061531717601,0.8371870139308605,0.8268428623239988,0.5226550378634474,0.9896179183844155,1.0,0.25425665436519507,0.136896828745855,0.05384215034513981,0.10268397095433056,0.7061529419262608,0.1882939386140135,0.1548292118596145,0.8359943673646558,0.4787028748247143
